#Variable: NDVI
#Data Source: Landsat 4/5/7/8 surface reflectance 30 m daily dataset (NASA/USGS) w/ cloud mask
#Missing Value: -9999
#Time Period: 1984-01-01 to 2020-05-07
#Area-Average over Earth Engine feature collection: projects/earthengine-legacy/assets/projects/climate-engine/featureCollections/shp_orig/SNMMPC_v2_S05_County_geo
#Alternative Name: UCDSNM014503
#Date(yyyy-mm-dd) NDVI
2000-03-04 -0.0542
2000-03-12 -0.0465
2000-03-20 -0.1408
2000-03-28 -0.0567
2000-04-21 -0.1238
2000-04-29 -0.5011
2000-05-23 0.2509
2000-05-31 0.3393
2000-06-16 0.5362
2000-06-24 0.5757
2000-07-02 0.6319
2000-07-18 0.6431
2000-07-26 0.6037
2000-08-03 0.4732
2000-08-11 0.5589
2000-08-19 0.5306
2000-08-27 0.4759
2000-09-12 0.4394
2000-09-20 0.4227
2000-09-28 0.3872
2000-10-06 0.3868
2000-10-14 -0.0309
2000-10-22 0.3415
2000-11-07 -0.3704
2000-11-23 -0.3035
2000-12-01 0.0027
2000-12-17 -0.0102
2000-12-25 0.0051
2001-01-02 -0.0190
2001-01-18 -0.0018
2001-02-03 -0.0268
2001-02-27 -0.0312
2001-03-07 -0.0423
2001-03-15 -0.1635
2001-03-23 -0.2094
2001-03-31 -0.4767
2001-04-16 -0.4542
2001-04-24 -0.3795
2001-05-02 -0.4908
2001-05-10 0.0231
2001-05-18 0.2856
2001-05-26 0.3850
2001-06-03 0.4775
2001-06-11 0.5051
2001-06-19 0.5560
2001-07-05 0.4880
2001-07-13 0.6069
2001-07-21 0.5986
2001-07-29 0.5456
2001-08-06 0.5375
2001-08-14 0.4956
2001-08-22 0.4794
2001-08-30 0.3588
2001-09-07 0.4261
2001-09-15 0.4097
2001-10-01 0.3756
2001-10-17 0.3366
2001-10-25 0.3361
2001-11-02 0.3414
2001-11-10 0.3166
2001-11-26 -0.2832
2001-12-04 -0.0047
2001-12-12 -0.2731
2002-01-13 -0.3346
2002-01-29 -0.3571
2002-02-06 -0.0075
2002-02-14 -0.3702
2002-02-22 -0.0374
2002-03-02 -0.4470
2002-03-18 -0.0237
2002-04-03 -0.4761
2002-04-19 -0.2695
2002-05-05 -0.5033
2002-06-06 0.3668
2002-06-14 0.4595
2002-06-22 0.5425
2002-06-30 0.5964
2002-07-08 0.6416
2002-07-16 0.6417
2002-07-24 0.6606
2002-08-01 0.6181
2002-08-09 0.5847
2002-08-17 0.5172
2002-08-25 0.5326
2002-09-02 0.4741
2002-09-10 0.4670
2002-09-18 0.4275
2002-09-26 0.4050
2002-10-12 0.3615
2002-10-28 0.2770
2002-11-05 0.3151
2002-11-13 -0.2475
2002-11-21 -0.0364
2002-11-29 -0.0344
2002-12-07 0.0239
2002-12-23 -0.0123
2003-01-08 -0.0249
2003-01-16 -0.3324
2003-02-09 -0.0409
2003-03-05 -0.1086
2003-03-13 -0.0714
2003-03-20 0.0020
2003-03-21 -0.4769
2003-03-29 -0.0761
2003-04-14 -0.2532
2003-05-16 -0.3769
2003-05-24 -0.5119
2003-06-01 -0.0421
2003-07-03 0.5485
2003-07-19 0.5976
2003-07-27 0.6406
2003-08-04 0.6968
2003-08-12 0.6254
2003-08-20 0.5859
2003-08-28 0.6102
2003-09-05 0.5685
2003-09-21 0.4884
2003-09-29 0.4673
2003-10-07 0.4325
2003-10-15 0.3770
2003-10-23 0.3016
2003-11-16 -0.2310
2003-11-24 -0.0110
2003-12-02 -0.2740
2003-12-18 -0.1865
2004-01-03 -0.1181
2004-01-11 -0.0421
2004-01-19 -0.3201
2004-02-04 -0.3500
2004-02-12 -0.0191
2004-02-20 -0.4434
2004-02-28 -0.1704
2004-03-07 -0.1852
2004-03-15 -0.0736
2004-03-23 -0.4660
2004-03-31 -0.1684
2004-04-07 -0.0029
2004-04-08 -0.4771
2004-04-23 -0.2195
2004-04-24 -0.4792
2004-05-02 -0.1302
2004-05-09 0.2246
2004-05-18 0.2848
2004-05-25 0.3513
2004-05-26 0.3497
2004-06-10 0.5689
2004-06-11 0.5165
2004-06-19 0.5653
2004-06-26 0.6569
2004-06-27 0.6073
2004-07-05 0.6282
2004-07-13 0.6377
2004-07-21 0.6212
2004-07-28 0.5954
2004-07-29 0.6319
2004-08-06 0.5743
2004-08-13 0.5714
2004-08-14 0.5414
2004-08-29 0.5985
2004-08-30 0.5009
2004-09-07 0.4586
2004-09-15 0.4310
2004-09-23 0.4067
2004-09-30 0.4212
2004-10-01 0.3815
2004-10-09 0.3665
2004-10-25 -0.2168
2004-11-02 -0.3764
2004-11-17 0.0870
2004-11-18 -0.3527
2004-11-26 0.0054
2004-12-04 -0.2539
2004-12-12 -0.0304
2005-01-21 -0.1836
2005-01-29 -0.0248
2005-02-06 -0.0088
2005-03-10 -0.4692
2005-04-11 -0.4526
2005-05-13 -0.5086
2005-05-21 -0.3185
2005-05-29 -0.4894
2005-06-22 0.3830
2005-06-30 0.4976
2005-07-08 0.5554
2005-07-16 0.6335
2005-07-24 0.6536
2005-08-01 0.6849
2005-08-09 0.6500
2005-08-17 0.6518
2005-08-25 0.5953
2005-09-02 0.5732
2005-09-10 0.4899
2005-09-18 0.4847
2005-10-12 0.3883
2005-10-20 0.3735
2005-11-04 1.0000
2005-11-13 0.2605
2005-11-20 0.2011
2005-11-21 0.3018
2005-12-23 -0.0029
2006-01-08 -0.1024
2006-01-23 -0.0299
2006-01-24 -0.2850
2006-02-08 -0.0140
2006-02-09 -0.3705
2006-02-24 0.0371
2006-02-25 -0.3801
2006-04-06 -0.3420
2006-04-30 -0.5057
2006-05-08 -0.3859
2006-05-16 -0.5060
2006-05-24 -0.2129
2006-05-31 0.1301
2006-06-01 0.0796
2006-06-09 0.3386
2006-06-16 0.4652
2006-06-17 0.4239
2006-06-25 0.5387
2006-07-03 0.6349
2006-07-11 0.6358
2006-07-19 0.6684
2006-07-27 0.6630
2006-08-04 0.6723
2006-08-12 0.6184
2006-08-20 0.5793
2006-08-28 0.5315
2006-09-05 0.5141
2006-09-13 0.4670
2006-09-21 0.4508
2006-09-29 0.4035
2006-10-07 0.4468
2006-10-15 0.2849
2006-10-23 0.3724
2006-10-31 0.3277
2006-11-24 0.0085
2006-12-02 0.0072
2006-12-18 0.0109
2007-01-03 -0.0033
2007-01-11 0.0309
2007-01-19 -0.0122
2007-01-27 -0.1812
2007-02-04 -0.0513
2007-02-20 -0.0435
2007-03-08 -0.0366
2007-03-16 -0.4403
2007-03-24 -0.0478
2007-04-01 -0.4614
2007-04-09 -0.2489
2007-04-25 -0.1882
2007-05-11 0.2162
2007-05-19 0.3299
2007-05-27 0.3708
2007-06-04 0.5207
2007-06-12 0.5497
2007-06-20 0.6113
2007-06-28 0.5978
2007-07-14 0.5954
2007-07-22 0.6179
2007-07-30 0.5703
2007-08-07 0.5577
2007-08-15 0.4974
2007-08-23 0.4818
2007-08-31 0.4298
2007-09-08 0.4413
2007-09-16 0.4281
2007-10-02 0.3910
2007-10-26 0.2832
2007-11-11 0.0034
2007-11-27 0.2770
2007-12-13 0.0033
2008-01-14 -0.3157
2008-02-15 -0.3848
2008-03-02 -0.0564
2008-03-18 -0.4179
2008-03-26 -0.2682
2008-04-03 -0.4747
2008-04-11 -0.3668
2008-04-19 -0.4662
2008-04-27 -0.3011
2008-05-05 -0.4924
2008-05-13 -0.0144
2008-05-21 0.3202
2008-05-29 0.2432
2008-06-06 0.4362
2008-06-14 0.4486
2008-06-22 0.5988
2008-06-30 0.6081
2008-07-08 0.6389
2008-07-16 0.6229
2008-07-24 0.6562
2008-08-01 0.6081
2008-08-09 0.5841
2008-08-17 0.5355
2008-08-25 0.5281
2008-09-02 0.4758
2008-09-10 0.4582
2008-09-18 0.4146
2008-09-26 0.4112
2008-10-12 0.3740
2008-10-20 0.3146
2008-10-28 0.3278
2008-11-13 -0.1746
2008-11-29 0.2963
2008-12-31 -0.2346
2009-01-15 -0.0513
2009-01-16 -0.2920
2009-01-31 0.0428
2009-02-01 -0.3064
2009-02-09 0.0003
2009-03-05 -0.0556
2009-03-13 -0.0318
2009-03-20 0.2844
2009-03-29 -0.2683
2009-04-06 -0.4578
2009-04-14 -0.3247
2009-04-22 -0.4787
2009-04-30 -0.0393
2009-05-16 -0.0282
2009-05-24 0.2908
2009-06-09 0.3967
2009-06-17 0.5292
2009-06-25 0.6270
2009-07-03 0.6370
2009-07-11 0.5899
2009-07-19 0.6345
2009-07-27 0.6371
2009-08-04 0.5947
2009-08-12 0.5096
2009-08-20 0.5274
2009-08-28 0.4393
2009-09-05 0.4812
2009-09-13 0.4266
2009-09-21 0.4390
2009-10-07 0.4108
2009-10-23 0.3665
2009-10-31 0.3483
2009-11-16 0.0877
2009-11-24 0.0305
2009-12-02 0.0135
2009-12-18 -0.2530
2010-01-03 -0.2409
2010-02-28 -0.0024
2010-03-16 -0.3011
2010-03-24 -0.5508
2010-04-09 -0.5209
2010-04-17 -0.0249
2010-04-25 -0.4763
2010-05-03 -0.3872
2010-05-11 -0.5859
2010-05-27 -0.5913
2010-06-12 0.1747
2010-06-20 0.3201
2010-06-28 0.4619
2010-07-06 0.5506
2010-07-14 0.6506
2010-07-22 0.6372
2010-07-30 0.6838
2010-08-07 0.6160
2010-08-15 0.6212
2010-08-23 0.5687
2010-09-16 0.4673
2010-09-24 0.4612
2010-10-02 0.4346
2010-10-10 0.4217
2010-10-18 0.4379
2010-11-11 0.0259
2010-12-05 -0.2039
2011-01-06 -0.2790
2011-01-14 -0.0305
2011-01-22 -0.3540
2011-02-07 -0.3675
2011-02-23 -0.1604
2011-03-03 0.0547
2011-03-11 -0.0547
2011-04-04 -0.0319
2011-04-12 -0.4557
2011-05-06 -0.1809
2011-05-22 -0.3417
2011-05-30 -0.0623
2011-06-07 -0.3449
2011-06-15 -0.5027
2011-06-23 -0.0590
2011-07-01 0.2532
2011-07-09 0.4288
2011-07-17 0.5508
2011-07-25 0.6276
2011-08-02 0.6918
2011-08-10 0.6683
2011-08-18 0.6629
2011-08-26 0.6175
2011-09-03 0.5903
2011-09-19 0.5659
2011-09-27 0.5395
2011-10-13 0.4909
2011-10-29 0.4649
2011-11-22 -0.0580
2011-12-08 0.0030
2011-12-24 0.0071
2012-01-09 0.2468
2012-01-25 -0.1259
2012-02-10 -0.2113
2012-02-26 -0.0176
2012-03-29 -0.4088
2012-04-30 -0.5118
2012-06-01 0.4820
2012-06-17 0.6300
2012-07-03 0.6298
2012-08-04 0.5244
2012-08-20 0.5321
2012-10-07 0.4238
2012-11-24 -0.1833
2012-12-10 -0.0408
2013-01-27 -0.2543
2013-02-12 -0.3423
2013-02-28 -0.0731
2013-03-16 -0.4206
2013-04-09 -0.0274
2013-04-17 -0.4054
2013-04-25 0.2989
2013-05-03 0.3175
2013-05-11 0.4607
2013-05-19 0.5124
2013-06-04 0.5946
2013-06-12 0.6767
2013-06-20 0.6364
2013-06-28 0.6712
2013-07-06 0.6476
2013-07-14 0.6690
2013-07-22 0.4938
2013-07-30 0.6378
2013-08-14 0.6441
2013-08-15 0.5652
2013-08-23 0.4881
2013-08-30 0.5723
2013-08-31 0.5375
2013-09-08 0.4725
2013-09-16 0.5114
2013-09-24 0.4558
2013-10-02 0.4675
2013-10-10 0.3941
2013-10-18 0.4111
2013-10-26 0.3565
2013-11-03 0.0228
2013-11-11 0.2719
2013-12-05 0.0396
2013-12-13 -0.1540
2013-12-21 0.0233
2013-12-29 -0.0024
2014-01-06 0.0343
2014-01-14 0.0227
2014-01-22 0.0438
2014-02-23 -0.0467
2014-03-11 -0.0140
2014-03-19 -0.4336
2014-03-27 0.0243
2014-04-12 -0.0630
2014-04-20 0.1392
2014-04-28 -0.0491
2014-05-14 0.3831
2014-05-22 0.4324
2014-05-30 0.5164
2014-06-07 0.5716
2014-06-15 0.6390
2014-06-23 0.5885
2014-07-01 0.6615
2014-07-09 0.6315
2014-07-17 0.6480
2014-07-25 0.6253
2014-08-02 0.6382
2014-08-10 0.4782
2014-08-18 0.5960
2014-08-26 0.5334
2014-09-03 0.5276
2014-09-11 0.4086
2014-09-19 0.4535
2014-10-05 0.4437
2014-10-13 0.3506
2014-10-21 0.4413
2014-10-29 0.3594
2014-11-06 0.3696
2014-11-14 0.2980
2015-01-01 -0.2038
2015-01-17 -0.2697
2015-01-25 -0.0514
2015-02-18 -0.0509
2015-02-26 0.2115
2015-03-06 -0.2307
2015-03-22 0.2408
2015-03-29 0.5360
2015-03-30 0.3213
2015-04-15 0.3691
2015-04-23 0.3585
2015-05-01 0.4387
2015-05-09 0.4696
2015-06-02 0.5903
2015-06-18 0.6642
2015-06-26 0.6362
2015-07-20 0.6998
2015-07-28 0.6465
2015-08-05 0.6634
2015-08-13 0.6038
2015-08-21 0.5877
2015-08-29 0.4386
2015-09-06 0.5379
2015-09-14 0.4255
2015-09-22 0.4900
2015-10-07 0.4711
2015-10-08 0.4506
2015-10-23 0.4109
2015-12-03 -0.1644
2016-01-12 0.0171
2016-02-05 -0.2756
2016-02-13 -0.0462
2016-02-21 -0.3912
2016-02-29 -0.0456
2016-03-16 -0.0668
2016-03-24 -0.4205
2016-04-01 -0.0727
2016-04-17 -0.0754
2016-04-25 -0.3996
2016-05-03 -0.0196
2016-05-11 -0.1832
2016-05-27 0.3773
2016-06-20 0.6930
2016-06-28 0.6904
2016-07-06 0.7351
2016-07-14 0.7111
2016-07-22 0.7275
2016-07-30 0.6667
2016-08-07 0.6677
2016-08-15 0.5917
2016-08-23 0.6074
2016-08-31 0.5317
2016-09-08 0.5582
2016-09-16 0.4786
2016-09-24 0.5116
2016-10-02 0.4123
2016-10-18 -0.0835
2016-10-26 0.4172
2016-11-03 -0.2790
2016-11-11 0.3354
2016-11-27 0.0397
2016-12-29 0.0383
2017-01-14 -0.0222
2017-01-30 -0.0079
2017-02-14 -0.0248
2017-02-23 -0.0336
2017-03-11 -0.1613
2017-03-19 -0.0580
2017-03-27 -0.2131
2017-04-04 -0.0814
2017-04-28 -0.3983
2017-05-22 -0.0813
2017-05-30 -0.3532
2017-06-15 0.2431
2017-06-23 0.4739
2017-07-01 0.5642
2017-07-09 0.6795
2017-07-17 0.6862
2017-07-25 0.7401
2017-08-02 0.7074
2017-08-10 0.7459
2017-08-18 0.7092
2017-08-26 0.7192
2017-09-03 0.6472
2017-09-11 0.6201
2017-09-19 0.6069
2017-09-27 0.6064
2017-10-05 0.4971
2017-10-13 0.4830
2017-10-21 0.0430
2017-10-29 0.4254
2017-11-14 0.3563
2017-11-22 -0.0265
2017-11-30 0.1017
2017-12-08 0.0643
2017-12-16 0.1913
2018-01-01 0.2864
2018-02-02 -0.0112
2018-02-10 -0.1665
2018-03-06 -0.0017
2018-03-30 -0.5346
2018-04-07 -0.0696
2018-04-23 -0.0748
2018-05-01 -0.4266
2018-05-09 0.3129
2018-06-02 0.4732
2018-06-10 0.5850
2018-06-18 0.6418
2018-06-26 0.6470
2018-07-04 0.6312
2018-07-12 0.5991
2018-07-20 0.6239
2018-07-28 0.6245
2018-08-05 0.5812
2018-08-13 0.5868
2018-08-21 0.5289
2018-08-29 0.5352
2018-09-06 0.4551
2018-09-14 0.4773
2018-09-22 0.3963
2018-09-30 0.4317
2018-10-08 0.3689
2018-10-16 0.3982
2018-10-24 0.3575
2018-11-01 0.3475
2018-11-09 0.3137
2018-11-17 0.3606
2018-11-25 -0.2997
2018-12-03 -0.0019
2018-12-11 -0.2205
2018-12-27 -0.0738
2019-02-21 0.0175
2019-03-09 -0.0035
2019-03-17 -0.4832
2019-04-10 -0.0518
2019-04-18 -0.4688
2019-04-26 -0.0661
2019-05-04 -0.4704
2019-05-12 -0.0594
2019-06-05 -0.5063
2019-06-13 -0.0956
2019-06-21 0.2998
2019-06-29 0.4370
2019-07-15 0.6146
2019-07-23 0.4989
2019-07-31 0.6955
2019-08-08 0.6049
2019-08-16 0.7003
2019-08-24 0.6542
2019-09-01 0.6602
2019-09-09 0.5843
2019-09-17 0.6207
2019-09-25 0.5264
2019-10-03 0.4978
2019-10-11 0.4576
2019-10-27 0.3863
2019-11-04 0.4228
2019-11-12 0.2986
2019-12-06 0.0143
2019-12-14 -0.0044
2019-12-30 -0.0261
2020-01-07 0.0230
2020-01-15 0.0191
2020-02-08 -0.0356
2020-02-24 -0.0559
2020-03-03 -0.2588
2020-03-11 -0.0276
2020-03-19 -0.3446
2020-03-27 0.0011
2020-04-12 -0.0552
2020-04-28 -0.0709
